dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
Synthetic,RDKitFingerprint,Greedy Cosine,Spearman,0.422392404497088,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Kendall,0.294736979645459,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Pearson,0.3577382474335463,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Spearman,0.1979057191682206,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Kendall,0.1355276258012289,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Pearson,0.4069384118365566,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Spearman,0.3645538658755307,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Kendall,0.2538057682716426,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Pearson,0.406582593724247,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Spearman,0.4003324801827062,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Kendall,0.2769355416657605,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Pearson,0.4834190265147674,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Spearman,0.4220768061902059,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Kendall,0.2953243885138036,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Pearson,0.3591821771809811,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Spearman,0.2015422303347677,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Kendall,0.1380175191254486,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Pearson,0.4057861800059743,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Spearman,0.3661782021063209,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Kendall,0.2547285445719611,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Pearson,0.4012003302246082,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Spearman,0.4010975295999015,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Kendall,0.2774033903788419,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Pearson,0.4834020786910008,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Spearman,0.4235494433246498,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Kendall,0.2959485437528957,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Pearson,0.3612256144558053,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Spearman,0.1958318620576458,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Kendall,0.1339320069898061,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Pearson,0.403817221147324,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Spearman,0.3518436944210093,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Kendall,0.2449153819334233,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Pearson,0.4076597063745608,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Spearman,0.3982684187681509,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Kendall,0.2757973437921196,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Pearson,0.4828688215203773,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Spearman,0.415631857703772,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Kendall,0.2905904055268047,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Pearson,0.3463005012851012,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Spearman,0.1962826597775157,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Kendall,0.1341741179881082,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Pearson,0.3907324399371216,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Spearman,0.3583394316779531,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Kendall,0.249165941042668,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Pearson,0.3910789846102331,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Spearman,0.3951744483482367,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Kendall,0.2733284975452771,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Pearson,0.4681972788035859,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Spearman,0.4140483295527166,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Kendall,0.2892734790918134,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Pearson,0.3612564218577095,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Spearman,0.2006346630824299,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Kendall,0.1375819905100997,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Pearson,0.4028762137773258,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Spearman,0.3659825709266431,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Kendall,0.2552208859446758,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Pearson,0.4082211167393108,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Spearman,0.4077686288858509,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Kendall,0.282351185516853,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Pearson,0.476623155296043,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Spearman,0.4218273386142384,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Kendall,0.2948130856253759,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Pearson,0.3609304918085668,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Spearman,0.1983972438937753,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Kendall,0.1361031007377874,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Pearson,0.4036287159277736,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Spearman,0.3574163352178626,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Kendall,0.2486801188066897,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Pearson,0.4064781138988,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Spearman,0.3973551227693405,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Kendall,0.2745072049427539,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Pearson,0.481146122685224,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Spearman,0.4170826950618039,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Kendall,0.2912763073240422,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Pearson,0.3695869593660276,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Spearman,0.1992191404311955,0.0
Synthetic,ECFPFingerprint,Greedy Cosine,Kendall,0.1365836427425848,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Pearson,0.4089084710559807,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Spearman,0.3554906020214436,0.0
Synthetic,AvalonFingerprint,Greedy Cosine,Kendall,0.2476875136756873,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Pearson,0.412344535874163,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Spearman,0.399895789464757,0.0
Synthetic,LayeredFingerprint,Greedy Cosine,Kendall,0.277050192053893,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Pearson,0.4850606580646592,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Spearman,0.4210004566174881,0.0
Synthetic,RDKitFingerprint,Greedy Cosine,Kendall,0.2947579320304273,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Pearson,0.0284006915243507,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Spearman,-0.0083440236106347,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Kendall,-0.0054601174256287,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Pearson,-0.0484481366598484,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Spearman,-0.0261376854325196,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Kendall,-0.0176412159818045,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Pearson,0.0358863318365865,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Spearman,0.0754031842071789,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Kendall,0.0505744759303252,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Pearson,-0.005745865020853,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Spearman,0.0106693660276942,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Kendall,0.0068528440070963,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Pearson,0.026285380182473,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Spearman,-0.0085473148721604,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Kendall,-0.0056720294541041,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Pearson,-0.0526395660225111,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Spearman,-0.0343127535078509,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Kendall,-0.0230184894684353,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Pearson,0.0292103340222924,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Spearman,0.063118863398636,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Kendall,0.0422974254598487,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Pearson,-0.0094982019766216,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Spearman,-0.0003438676960967,0.0005845642095888
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Kendall,-0.0003878081169432,6.117783484069678e-09
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Pearson,0.0285939204985722,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Spearman,-0.0063068799947851,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Kendall,-0.0042322360442032,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Pearson,-0.056349314981081,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Spearman,-0.0376909433118638,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Kendall,-0.0252926723948526,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Pearson,0.0294340490498178,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Spearman,0.0672004778561218,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Kendall,0.0451443629782121,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Pearson,-0.0076678401321817,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Spearman,0.0056325552948086,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Kendall,0.0035408765268395,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Pearson,0.0197360189800285,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Spearman,-0.0170060827125928,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Kendall,-0.0114704962399003,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Pearson,-0.0506238670710913,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Spearman,-0.0291741266158279,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Kendall,-0.0195870077262038,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Pearson,0.0332409766417594,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Spearman,0.0698656723358768,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Kendall,0.0468922369206468,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Pearson,-0.0002673199116309,0.0075131636112928
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Spearman,0.0156651389428598,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Kendall,0.0102949368352538,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Pearson,0.03044306928905,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Spearman,-0.0031118347582558,1.3570429374615146e-212
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Kendall,-0.0020489839684094,1.0506496018627078e-204
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Pearson,-0.0487122221011968,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Spearman,-0.0314851673236492,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Kendall,-0.021123619317155,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Pearson,0.0324835335579724,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Spearman,0.0607691612541804,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Kendall,0.0407262999621347,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Pearson,-0.004928086804396,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Spearman,0.0050729019726393,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Kendall,0.0031831683929035,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Pearson,0.0148697504269619,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Spearman,-0.0238968712402462,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Kendall,-0.0160665045344858,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Pearson,-0.0612672927164574,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Spearman,-0.047566583115649,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Kendall,-0.0319207015492976,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Pearson,0.0201421237997952,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Spearman,0.0497263026149285,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Kendall,0.0333880881167364,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Pearson,-0.0086161853793007,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Spearman,0.0017035984224143,4.4411286698808586e-65
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Kendall,0.0009241712630511,1.2069666110419048e-43
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Pearson,0.021968854166719,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Spearman,-0.0130359943849644,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Kendall,-0.0087599821757318,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Pearson,-0.0545926969469382,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Spearman,-0.0396419052642695,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Kendall,-0.0266395944373064,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Pearson,0.0254815600029426,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Spearman,0.0587629020731965,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Kendall,0.0394747335757756,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Pearson,-0.0053533339905722,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Spearman,0.0033259176330619,1.4994754914037455e-242
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Kendall,0.001992828467646,4.388340006957708e-196
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Pearson,0.016468609569842,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Spearman,-0.0194831024591103,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Kendall,-0.0130990119556467,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Pearson,-0.0507833329968537,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Spearman,-0.0308343628755279,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Kendall,-0.0207917048258155,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Pearson,0.0293713141344488,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Spearman,0.0633593313882467,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Kendall,0.0425196387338304,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Pearson,-0.005066153355454,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Spearman,0.0087219788971098,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Kendall,0.0055768216458599,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Pearson,0.0240911138491007,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Spearman,-0.0127746133006471,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Kendall,-0.0084897184461676,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Pearson,-0.052407569315121,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Spearman,-0.038219122858576,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Kendall,-0.0256041529556197,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Pearson,0.0310784915518792,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Spearman,0.0634152680659871,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Kendall,0.0425552595579431,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Pearson,-0.005977675210182,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Spearman,0.0043421995495368,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Kendall,0.0027258090598942,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Pearson,0.0156792190549663,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Spearman,-0.0220276430625583,0.0
Synthetic,ECFPFingerprint,Neutral Losses Cosine,Kendall,-0.0148194377667343,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Pearson,-0.0545766946880324,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Spearman,-0.0391093875971085,0.0
Synthetic,AvalonFingerprint,Neutral Losses Cosine,Kendall,-0.0262399688445777,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Pearson,0.0254331658120957,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Spearman,0.059874305704652,0.0
Synthetic,LayeredFingerprint,Neutral Losses Cosine,Kendall,0.0401822277295875,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Pearson,-0.0097353540238917,0.0
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Spearman,0.0009064954707041,1.2465403164706992e-19
Synthetic,RDKitFingerprint,Neutral Losses Cosine,Kendall,0.0004203171308468,2.959086690199376e-10
Synthetic,ECFPFingerprint,Modified Cosine,Pearson,0.1601700939987602,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Spearman,0.1245078322910015,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Kendall,0.0839079214060296,0.0
Synthetic,AvalonFingerprint,Modified Cosine,Pearson,0.0106511124542732,0.0
Synthetic,AvalonFingerprint,Modified Cosine,Spearman,-0.0033487576583985,7.28670738720272e-246
Synthetic,AvalonFingerprint,Modified Cosine,Kendall,-0.0023505030359358,1.234988967180149e-271
Synthetic,LayeredFingerprint,Modified Cosine,Pearson,0.097129020926323,0.0
Synthetic,LayeredFingerprint,Modified Cosine,Spearman,0.0721915195210554,0.0
Synthetic,LayeredFingerprint,Modified Cosine,Kendall,0.0487699055025158,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Pearson,0.1253508017155477,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Spearman,0.091851424477868,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Kendall,0.0621683427859483,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Pearson,0.156800971629574,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Spearman,0.1200336648182452,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Kendall,0.0807288433889817,0.0
Synthetic,AvalonFingerprint,Modified Cosine,Pearson,-0.0089878923202541,0.0
Synthetic,AvalonFingerprint,Modified Cosine,Spearman,-0.0206528999927865,0.0
Synthetic,AvalonFingerprint,Modified Cosine,Kendall,-0.0139918153425986,0.0
Synthetic,LayeredFingerprint,Modified Cosine,Pearson,0.0783918748764305,0.0
Synthetic,LayeredFingerprint,Modified Cosine,Spearman,0.0576150497920797,0.0
Synthetic,LayeredFingerprint,Modified Cosine,Kendall,0.0389805213036107,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Pearson,0.1108817119327074,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Spearman,0.0767507323107981,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Kendall,0.0519930258859101,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Pearson,0.1540785059203764,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Spearman,0.1193040267284524,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Kendall,0.0800991385299139,0.0
Synthetic,AvalonFingerprint,Modified Cosine,Pearson,-0.0061851682429849,0.0
Synthetic,AvalonFingerprint,Modified Cosine,Spearman,-0.0186062587348675,0.0
Synthetic,AvalonFingerprint,Modified Cosine,Kendall,-0.0126403599577462,0.0
Synthetic,LayeredFingerprint,Modified Cosine,Pearson,0.0810577342817716,0.0
Synthetic,LayeredFingerprint,Modified Cosine,Spearman,0.0595654365320593,0.0
Synthetic,LayeredFingerprint,Modified Cosine,Kendall,0.0404079577083927,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Pearson,0.1169285378733202,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Spearman,0.0842214479217874,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Kendall,0.0570979000081998,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Pearson,0.1618809211498817,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Spearman,0.1264157506731645,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Kendall,0.085198299737547,0.0
Synthetic,AvalonFingerprint,Modified Cosine,Pearson,0.0129076938143505,0.0
Synthetic,AvalonFingerprint,Modified Cosine,Spearman,-0.0004051156138047,5.096515759593277e-05
Synthetic,AvalonFingerprint,Modified Cosine,Kendall,-0.0002803482628122,2.6689464019341988e-05
Synthetic,LayeredFingerprint,Modified Cosine,Pearson,0.0931614341726865,0.0
Synthetic,LayeredFingerprint,Modified Cosine,Spearman,0.070187291437175,0.0
Synthetic,LayeredFingerprint,Modified Cosine,Kendall,0.047469397132997,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Pearson,0.1349069680162783,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Spearman,0.1028009782047767,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Kendall,0.0697503884321876,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Pearson,0.1467645993691874,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Spearman,0.1113753528778847,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Kendall,0.0748749553495063,0.0
Synthetic,AvalonFingerprint,Modified Cosine,Pearson,-0.0026349360192981,0.0
Synthetic,AvalonFingerprint,Modified Cosine,Spearman,-0.0155569423422817,0.0
Synthetic,AvalonFingerprint,Modified Cosine,Kendall,-0.0105706998242964,0.0
Synthetic,LayeredFingerprint,Modified Cosine,Pearson,0.0730369139933723,0.0
Synthetic,LayeredFingerprint,Modified Cosine,Spearman,0.0519551006653809,0.0
Synthetic,LayeredFingerprint,Modified Cosine,Kendall,0.0351701950602925,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Pearson,0.1181576770789665,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Spearman,0.0846789317260674,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Kendall,0.0574128227627065,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Pearson,0.1582158346190585,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Spearman,0.117567206517889,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Kendall,0.0790227949292758,0.0
Synthetic,AvalonFingerprint,Modified Cosine,Pearson,0.0058608770935196,0.0
Synthetic,AvalonFingerprint,Modified Cosine,Spearman,-0.0105815099656733,0.0
Synthetic,AvalonFingerprint,Modified Cosine,Kendall,-0.0073002199655473,0.0
Synthetic,LayeredFingerprint,Modified Cosine,Pearson,0.0811502997609656,0.0
Synthetic,LayeredFingerprint,Modified Cosine,Spearman,0.0558065635710882,0.0
Synthetic,LayeredFingerprint,Modified Cosine,Kendall,0.0377366342526157,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Pearson,0.1275313933688001,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Spearman,0.091420079102213,0.0
Synthetic,RDKitFingerprint,Modified Cosine,Kendall,0.0619872110807886,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Pearson,0.146982805227366,0.0
Synthetic,ECFPFingerprint,Modified Cosine,Spearman,0.1157376062536585,0.0
